eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150340749,,,,TOWARDS DEEPENING GRAPH NEURAL NETWORKS: A GNTK-BASED OPTIMIZATION PERSPECTIVE,cp,Conference Paper,Huang W.,,University of Technology Sydney,Sydney,Australia,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150340560,,,,SPATIOTEMPORAL REPRESENTATION LEARNING ON TIME SERIES WITH DYNAMIC GRAPH ODES,cp,Conference Paper,,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150340541,,,,ONLINE CORESET SELECTION FOR REHEARSAL-BASED CONTINUAL LEARNING,cp,Conference Paper,Yoon J.,,KAIST,"Yuseon, Daejeon",South Korea,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,2,0,,,,,
2-s2.0-85150340367,,,,UNCERTAINTY MODELING FOR OUT-OF-DISTRIBUTION GENERALIZATION,cp,Conference Paper,Li X.,,Peking University,Beijing,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,6,0,,,,,
2-s2.0-85150340179,,,,THE HIDDEN CONVEX OPTIMIZATION LANDSCAPE OF REGULARIZED TWO-LAYER RELU NETWORKS: AN EXACT CHARACTERIZATION OF OPTIMAL SOLUTIONS,cp,Conference Paper,Wang Y.,,Stanford University,Palo Alto,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150340164,,,,SOLVING INVERSE PROBLEMS IN MEDICAL IMAGING WITH SCORE-BASED GENERATIVE MODELS,cp,Conference Paper,Song Y.,,Stanford University,Palo Alto,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150339965,,,,IMPROVED DETERMINISTIC l<inf>2</inf> ROBUSTNESS ON CIFAR-10 AND CIFAR-100,cp,Conference Paper,Singla S.,,"University of Maryland, College Park",College Park,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,2,0,,,,,
2-s2.0-85150339718,,,,HYAR: ADDRESSING DISCRETE-CONTINUOUS ACTION REINFORCEMENT LEARNING VIA HYBRID ACTION REPRESENTATION,cp,Conference Paper,Li B.,,Tianjin University,Tianjin,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339701,,,,GIVENS COORDINATE DESCENT METHODS FOR ROTATION MATRIX LEARNING IN TRAINABLE EMBEDDING INDEXES,cp,Conference Paper,Jiang Y.,,"JD.com, Inc.",Beijing,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150339669,,,,NEURAL NETWORKS AS KERNEL LEARNERS: THE SILENT ALIGNMENT EFFECT,cp,Conference Paper,Atanasov A.,,Harvard University,Cambridge,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
